DEBUG    | 2023-06-20 09:33:13,212 | 24   - init                                     | Input-dir test/gitleaks_input already exists
DEBUG    | 2023-06-20 09:33:13,212 | 63   - <module>                                 | Starting file-upload
DEBUG    | 2023-06-20 09:33:13,212 | 54   - __init__                                 | Using selector: EpollSelector
DEBUG    | 2023-06-20 09:33:13,212 | 63   - run                                      | Bulk-Upload set to True
DEBUG    | 2023-06-20 09:33:13,212 | 67   - run                                      | AvailableScanner is Gitleaks
DEBUG    | 2023-06-20 09:33:13,213 | 75   - run                                      | AvailableScanner is Gitleaks. Using FileInput with default filepath test/gitleaks_input
DEBUG    | 2023-06-20 09:33:13,213 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/orgtech/epos/epos.helloworld/epos.helloworld.json
DEBUG    | 2023-06-20 09:33:13,213 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/cfn-cost/cfn-cost.json
DEBUG    | 2023-06-20 09:33:13,213 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/gitlabform/gitlabform.json
DEBUG    | 2023-06-20 09:33:13,213 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/cfn-cloudtrail/cfn-cloudtrail.json
DEBUG    | 2023-06-20 09:33:13,213 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/cfn-ecs-cluster/cfn-ecs-cluster.json
DEBUG    | 2023-06-20 09:33:13,213 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/cfn-ecs-service/cfn-ecs-service.json
DEBUG    | 2023-06-20 09:33:13,213 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/cfn-ecs-service-v2/cfn-ecs-service-v2.json
DEBUG    | 2023-06-20 09:33:13,213 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/auth0-config-migrator/auth0-config-migrator.json
DEBUG    | 2023-06-20 09:33:13,213 | 130  - read_raw_input                           | Current file is: test/gitleaks_input/iu-group/infrastructure/aws-cloudformation-rain/aws-cloudformation-rain.json
