INFO     | 2023-06-20 13:23:45,314 | 353  - __init__                                 | Will watch for changes in these directories: ['/home/chriss/Repositories/secret_scanner_prototyp_backend/backend']
INFO     | 2023-06-20 13:23:45,314 | 581  - bind_socket                              | Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
INFO     | 2023-06-20 13:23:45,314 | 72   - startup                                  | Started reloader process [16834] using StatReload
INFO     | 2023-06-20 13:23:45,722 | 75   - serve                                    | Started server process [16844]
INFO     | 2023-06-20 13:23:45,723 | 47   - startup                                  | Waiting for application startup.
INFO     | 2023-06-20 13:23:45,723 | 61   - startup                                  | Application startup complete.
INFO     | 2023-06-20 13:23:48,555 | 480  - send                                     | 127.0.0.1:50608 - "OPTIONS /token/ HTTP/1.1" 200
INFO     | 2023-06-20 13:23:48,870 | 480  - send                                     | 127.0.0.1:50608 - "POST /token/ HTTP/1.1" 200
INFO     | 2023-06-20 13:23:48,979 | 480  - send                                     | 127.0.0.1:50608 - "OPTIONS /finding/count HTTP/1.1" 200
INFO     | 2023-06-20 13:23:48,979 | 480  - send                                     | 127.0.0.1:50616 - "OPTIONS /finding/overview HTTP/1.1" 200
INFO     | 2023-06-20 13:23:48,991 | 480  - send                                     | 127.0.0.1:50616 - "GET /finding/overview HTTP/1.1" 200
INFO     | 2023-06-20 13:23:48,992 | 480  - send                                     | 127.0.0.1:50608 - "GET /finding/count HTTP/1.1" 200
INFO     | 2023-06-20 13:23:49,061 | 480  - send                                     | 127.0.0.1:50616 - "OPTIONS /finding/repository/auth0-config-migrator/count HTTP/1.1" 200
INFO     | 2023-06-20 13:23:49,077 | 480  - send                                     | 127.0.0.1:50608 - "OPTIONS /finding/repository/cfn-cloudtrail/count HTTP/1.1" 200
INFO     | 2023-06-20 13:23:49,084 | 480  - send                                     | 127.0.0.1:50608 - "GET /finding/repository/cfn-cloudtrail/count HTTP/1.1" 200
